,ts-travel2-service-5c66d57d58-zxw8n,ts-gateway-service-6f6cfc45b-d9pnv,ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,ts-train-service-86f5f97bc9-tlpss,ts-route-service-b6c59fb57-dz9bw,ts-price-service-76846864d9-nmjz7,ts-seat-service-5c95b49cff-mxdsg,ts-order-other-service-6cdbf9b4cc-swvb5,ts-config-service-5fcd447d84-9qltf,ts-auth-service-7f8d7d756d-kzp47,ts-verification-code-service-7b6dc75c45-r66rb,ts-food-service-f5756978c-6sb8t,ts-train-food-service-59bbbdd99b-cz98n,ts-travel-service-64469b5b48-5rjvb,ts-station-food-service-dc4d75dd-k65k2,ts-preserve-other-service-66646bdb5b-l8hp6,ts-security-service-cb9788d56-bdkcx,ts-order-service-5b67c48447-fj8b7,ts-contacts-service-866bd68c97-dzqgd,ts-assurance-service-69876c9868-wqgrl,ts-delivery-service-7d97b69596-gfnbr,ts-user-service-687d654649-f8jtd,ts-preserve-service-b5ccf8557-l5l4p,ts-execute-service-775f544d9-tmwcv,ts-inside-payment-service-6f94c49ccd-t4k6c,ts-payment-service-7fc6f5476f-pqwgt,ts-cancel-service-756f6c4675-prw5z
1675078734333,1.75,0,5.0,14.25,9.75,10.625,9.75,9.25,18.3125,17.25,0.5,0.75,1.25,0.75,1.25,0.75,0.5,0.75,10.5625,0.75,0.75,2.25,0.75,,,,,
1675078734353,1.75,0,5.0,14.25,9.75,10.625,9.75,9.25,18.3125,22.375,0.5,0.75,1.25,0.75,1.25,0.75,0.5,0.75,10.5625,0.75,0.75,2.25,0.75,,,,,
1675078734357,1.75,0,5.0,14.25,9.75,10.625,9.75,9.25,18.3125,22.375,0.5,0.75,1.75,0.75,1.25,0.75,0.5,0.75,10.5625,0.75,0.75,2.25,0.75,,,,,
1675078734366,1.75,0,5.0,14.25,9.75,10.625,9.75,9.25,18.3125,22.375,0.5,0.75,1.75,2.125,1.25,0.75,0.5,0.75,10.5625,0.75,0.75,2.25,0.75,,,,,
1675078734370,1.75,0,5.0,14.25,9.75,10.625,9.75,9.25,18.3125,22.375,0.5,0.75,1.75,2.125,2.625,0.75,0.5,0.75,10.5625,0.75,0.75,2.25,0.75,,,,,
1675078734383,1.75,0,5.0,14.25,9.75,12.4375,9.75,9.25,18.3125,22.375,0.5,0.75,1.75,2.125,2.625,0.75,0.5,0.75,10.5625,0.75,0.75,2.25,0.75,,,,,
1675078734451,1.75,0,5.0,14.25,9.75,12.4375,9.75,9.25,18.3125,22.375,0.5,0.75,1.75,2.125,2.625,2.125,0.5,0.75,10.5625,0.75,0.75,2.25,0.75,0.0,,,,
1675078734456,1.75,0,5.0,14.25,9.75,12.4375,9.75,9.25,18.3125,22.375,0.5,0.75,1.75,2.125,2.625,2.125,0.5,0.75,10.5625,0.75,0.75,2.25,0.75,0.5,,,,
1675078734460,1.75,0,5.0,14.25,9.75,12.4375,9.75,9.25,18.3125,22.375,0.5,0.75,1.75,2.125,2.625,2.125,0.5,1.5,10.5625,0.75,0.75,2.25,0.75,0.5,,,,
1675078734471,1.75,0,5.0,14.25,9.75,12.4375,9.75,9.25,18.3125,22.375,0.5,0.75,1.75,2.125,2.625,2.125,0.5,1.5,11.8125,0.75,0.75,2.25,0.75,0.5,,,,
1675078734489,1.75,0,5.0,14.25,9.75,12.4375,9.75,9.25,19.5625,22.375,0.5,0.75,1.75,2.125,2.625,2.125,0.5,1.5,11.8125,0.75,0.75,2.25,0.75,0.5,,,,
1675078734511,1.75,0,5.0,14.25,9.75,12.4375,9.75,9.25,19.5625,22.375,0.5,0.75,1.75,2.125,2.625,2.125,0.5,1.5,11.8125,1.5,0.75,2.25,0.75,0.5,,,,
1675078734520,1.75,0,5.0,14.25,9.75,12.4375,9.75,9.25,19.5625,22.375,0.5,0.75,1.75,2.125,3.375,2.125,0.5,1.5,11.8125,1.5,0.75,2.25,0.75,0.5,,,,
1675078734523,1.75,0,7.1875,14.25,9.75,12.4375,9.75,9.25,19.5625,22.375,0.5,0.75,1.75,2.125,3.375,2.125,0.5,1.5,11.8125,1.5,0.75,2.25,0.75,0.5,,,,
1675078734527,1.75,0,7.1875,18.34375,9.75,12.4375,9.75,9.25,19.5625,22.375,0.5,0.75,1.75,2.125,3.375,2.125,0.5,1.5,11.8125,1.5,0.75,2.25,0.75,0.5,,,,
1675078734531,1.75,0,7.1875,22.4375,9.75,12.4375,9.75,9.25,19.5625,22.375,0.5,0.75,1.75,2.125,3.375,2.125,0.5,1.5,11.8125,1.5,0.75,2.25,0.75,0.5,,,,
1675078734535,1.75,0,7.1875,22.4375,13.84375,12.4375,9.75,9.25,19.5625,22.375,0.5,0.75,1.75,2.125,3.375,2.125,0.5,1.5,11.8125,1.5,0.75,2.25,0.75,0.5,,,,
1675078734549,1.75,0,7.1875,22.4375,13.84375,16.53125,9.75,9.25,19.5625,22.375,0.5,0.75,1.75,2.125,3.375,2.125,0.5,1.5,11.8125,1.5,0.75,2.25,0.75,0.5,,,,
1675078734561,1.75,0,7.1875,22.4375,13.84375,16.53125,13.84375,9.25,19.5625,22.375,0.5,0.75,1.75,2.125,3.375,2.125,0.5,1.5,11.8125,1.5,0.75,2.25,0.75,0.5,,,,
1675078734565,1.75,0,7.1875,22.4375,13.84375,16.53125,13.84375,11.4375,19.5625,22.375,0.5,0.75,1.75,2.125,3.375,2.125,0.5,1.5,11.8125,1.5,0.75,2.25,0.75,0.5,,,,
1675078734587,1.75,0,7.1875,22.4375,13.84375,16.53125,13.84375,11.4375,19.5625,22.375,0.5,0.75,1.75,2.125,3.375,2.125,0.5,1.5,18.03125,1.5,0.75,2.25,0.75,0.5,,,,
1675078734596,1.75,0,7.1875,22.4375,13.84375,16.53125,13.84375,11.4375,19.5625,28.59375,0.5,0.75,1.75,2.125,3.375,2.125,0.5,1.5,18.03125,1.5,0.75,2.25,0.75,0.5,,,,
1675078734599,1.75,0,7.1875,22.4375,13.84375,16.53125,13.84375,13.625,19.5625,28.59375,0.5,0.75,1.75,2.125,3.375,2.125,0.5,1.5,18.03125,1.5,0.75,2.25,0.75,0.5,,,,
1675078734614,1.75,0,7.1875,22.4375,13.84375,16.53125,13.84375,13.625,19.5625,28.59375,0.5,0.75,1.75,2.125,3.375,2.125,0.5,1.5,25.34375,1.5,0.75,2.25,0.75,0.5,,,,
1675078734629,1.75,0,7.1875,22.4375,13.84375,16.53125,13.84375,13.625,19.5625,35.90625,0.5,0.75,1.75,2.125,3.375,2.125,0.5,1.5,25.34375,1.5,0.75,2.25,0.75,0.5,,,,
1675078734632,1.75,0,7.9375,22.4375,13.84375,16.53125,13.84375,13.625,19.5625,35.90625,0.5,0.75,1.75,2.125,3.375,2.125,0.5,1.5,25.34375,1.5,0.75,2.25,0.75,0.5,,,,
1675078734636,1.75,0,7.9375,26.90625,13.84375,16.53125,13.84375,13.625,19.5625,35.90625,0.5,0.75,1.75,2.125,3.375,2.125,0.5,1.5,25.34375,1.5,0.75,2.25,0.75,0.5,,,,
1675078734639,1.75,0,7.9375,31.375,13.84375,16.53125,13.84375,13.625,19.5625,35.90625,0.5,0.75,1.75,2.125,3.375,2.125,0.5,1.5,25.34375,1.5,0.75,2.25,0.75,0.5,,,,
1675078734643,1.75,0,7.9375,31.375,18.3125,16.53125,13.84375,13.625,19.5625,35.90625,0.5,0.75,1.75,2.125,3.375,2.125,0.5,1.5,25.34375,1.5,0.75,2.25,0.75,0.5,,,,
1675078734658,1.75,0,7.9375,31.375,18.3125,21.0,13.84375,13.625,19.5625,35.90625,0.5,0.75,1.75,2.125,3.375,2.125,0.5,1.5,25.34375,1.5,0.75,2.25,0.75,0.5,,,,
1675078734671,1.75,0,7.9375,31.375,18.3125,21.0,18.3125,13.625,19.5625,35.90625,0.5,0.75,1.75,2.125,3.375,2.125,0.5,1.5,25.34375,1.5,0.75,2.25,0.75,0.5,,,,
1675078734676,1.75,0,7.9375,31.375,18.3125,21.0,18.3125,14.375,19.5625,35.90625,0.5,0.75,1.75,2.125,3.375,2.125,0.5,1.5,25.34375,1.5,0.75,2.25,0.75,0.5,,,,
1675078734706,1.75,0,7.9375,31.375,18.3125,21.0,18.3125,14.375,19.5625,35.90625,0.5,0.75,1.75,2.125,3.375,2.125,0.5,1.5,33.03125,1.5,0.75,2.25,0.75,0.5,,,,
1675078734724,1.75,0,7.9375,31.375,18.3125,21.0,18.3125,14.375,19.5625,35.90625,0.5,0.75,1.75,2.125,3.375,2.125,0.5,1.5,33.78125,1.5,0.75,2.25,0.75,0.5,,,,
1675078734743,1.75,0,7.9375,31.375,18.3125,21.0,18.3125,14.375,19.5625,35.90625,0.5,0.75,1.75,2.125,3.375,2.125,0.5,1.5,33.78125,1.5,1.5,2.25,0.75,0.5,,,,
1675078734758,1.75,0,7.9375,31.375,18.3125,21.0,18.3125,14.375,19.5625,35.90625,0.5,0.75,2.5,2.125,3.375,2.125,0.5,1.5,33.78125,1.5,1.5,2.25,0.75,0.5,,,,
1675078734761,1.75,0,7.9375,31.375,18.3125,21.0,18.3125,14.375,19.5625,35.90625,0.5,0.75,2.5,2.125,3.375,2.125,0.5,1.5,33.78125,1.5,1.5,5.75,0.75,0.5,,,,
1675078737440,1.75,0,7.9375,31.375,18.3125,21.0,18.3125,14.375,19.5625,35.90625,0.5,0.75,2.5,2.125,3.375,2.125,0.5,1.5,33.78125,1.5,1.5,5.75,1.5,0.5,,,,
1675078737448,2.25,0,7.9375,31.375,18.3125,21.0,18.3125,14.375,19.5625,35.90625,0.5,0.75,2.5,2.125,3.375,2.125,0.5,1.5,33.78125,1.5,1.5,5.75,1.5,0.5,,,,
1675078737452,2.25,0,9.5625,31.375,18.3125,21.0,18.3125,14.375,19.5625,35.90625,0.5,0.75,2.5,2.125,3.375,2.125,0.5,1.5,33.78125,1.5,1.5,5.75,1.5,0.5,,,,
1675078737458,2.25,0,9.5625,36.65625,18.3125,21.0,18.3125,14.375,19.5625,35.90625,0.5,0.75,2.5,2.125,3.375,2.125,0.5,1.5,33.78125,1.5,1.5,5.75,1.5,0.5,,,,
1675078737464,2.25,0,9.5625,36.65625,23.59375,21.0,18.3125,14.375,19.5625,35.90625,0.5,0.75,2.5,2.125,3.375,2.125,0.5,1.5,33.78125,1.5,1.5,5.75,1.5,0.5,,,,
1675078737493,2.25,0,9.5625,36.65625,23.59375,26.28125,18.3125,14.375,19.5625,35.90625,0.5,0.75,2.5,2.125,3.375,2.125,0.5,1.5,33.78125,1.5,1.5,5.75,1.5,0.5,,,,
1675078737521,2.25,0,9.5625,36.65625,23.59375,26.28125,23.59375,14.375,19.5625,35.90625,0.5,0.75,2.5,2.125,3.375,2.125,0.5,1.5,33.78125,1.5,1.5,5.75,1.5,0.5,,,,
1675078737528,2.25,0,9.5625,36.65625,23.59375,26.28125,23.59375,16.0,19.5625,35.90625,0.5,0.75,2.5,2.125,3.375,2.125,0.5,1.5,33.78125,1.5,1.5,5.75,1.5,0.5,,,,
1675078737538,2.25,0,9.5625,36.65625,23.59375,26.28125,23.59375,16.0,28.0625,35.90625,0.5,0.75,2.5,2.125,3.375,2.125,0.5,1.5,33.78125,1.5,1.5,5.75,1.5,0.5,,,,
1675078737546,2.25,0,9.5625,36.65625,23.59375,26.28125,23.59375,16.0,28.0625,44.40625,0.5,0.75,2.5,2.125,3.375,2.125,0.5,1.5,33.78125,1.5,1.5,5.75,1.5,0.5,,,,
1675078737550,2.25,0,9.5625,36.65625,23.59375,26.28125,23.59375,17.625,28.0625,44.40625,0.5,0.75,2.5,2.125,3.375,2.125,0.5,1.5,33.78125,1.5,1.5,5.75,1.5,0.5,,,,
1675078737555,2.25,0,9.5625,36.65625,23.59375,26.28125,23.59375,17.625,37.375,44.40625,0.5,0.75,2.5,2.125,3.375,2.125,0.5,1.5,33.78125,1.5,1.5,5.75,1.5,0.5,,,,
1675078740052,2.25,0,9.5625,36.65625,23.59375,26.28125,23.59375,17.625,37.375,53.71875,0.5,0.75,2.5,2.125,3.375,2.125,0.5,1.5,33.78125,1.5,1.5,5.75,1.5,0.5,0.0,,,
1675078740058,2.25,0,9.5625,36.65625,23.59375,26.28125,23.59375,17.625,37.375,53.71875,0.5,0.75,2.5,2.125,3.375,2.125,0.5,1.5,33.78125,1.5,1.5,5.75,1.5,0.5,0.5,,,
1675078740066,2.25,0,9.5625,36.65625,23.59375,26.28125,23.59375,17.625,37.375,53.71875,0.5,0.75,2.5,2.125,3.375,2.125,0.5,1.5,34.53125,1.5,1.5,5.75,1.5,0.5,0.5,,,
1675078740315,2.25,0,9.5625,36.65625,23.59375,26.28125,23.59375,17.625,38.125,53.71875,0.5,0.75,2.5,2.125,3.375,2.125,0.5,1.5,34.53125,1.5,1.5,5.75,1.5,0.5,0.5,,,
1675078740324,2.75,0,9.5625,36.65625,23.59375,26.28125,23.59375,17.625,38.125,53.71875,0.5,0.75,2.5,2.125,3.375,2.125,0.5,1.5,34.53125,1.5,1.5,5.75,1.5,0.5,0.5,,,
1675078740328,2.75,0,11.4375,36.65625,23.59375,26.28125,23.59375,17.625,38.125,53.71875,0.5,0.75,2.5,2.125,3.375,2.125,0.5,1.5,34.53125,1.5,1.5,5.75,1.5,0.5,0.5,,,
1675078740335,2.75,0,11.4375,42.875,23.59375,26.28125,23.59375,17.625,38.125,53.71875,0.5,0.75,2.5,2.125,3.375,2.125,0.5,1.5,34.53125,1.5,1.5,5.75,1.5,0.5,0.5,,,
1675078740576,2.75,0,11.4375,42.875,29.8125,26.28125,23.59375,17.625,38.125,53.71875,0.5,0.75,2.5,2.125,3.375,2.125,0.5,1.5,34.53125,1.5,1.5,5.75,1.5,0.5,0.5,,,
1675078740619,2.75,0,11.4375,42.875,29.8125,32.5,23.59375,17.625,38.125,53.71875,0.5,0.75,2.5,2.125,3.375,2.125,0.5,1.5,34.53125,1.5,1.5,5.75,1.5,0.5,0.5,,,
1675078740633,2.75,0,11.4375,42.875,29.8125,32.5,29.8125,17.625,38.125,53.71875,0.5,0.75,2.5,2.125,3.375,2.125,0.5,1.5,34.53125,1.5,1.5,5.75,1.5,0.5,0.5,,,
1675078740639,2.75,0,11.4375,42.875,29.8125,32.5,29.8125,19.5,38.125,53.71875,0.5,0.75,2.5,2.125,3.375,2.125,0.5,1.5,34.53125,1.5,1.5,5.75,1.5,0.5,0.5,,,
1675078740647,2.75,0,11.4375,42.875,29.8125,32.5,29.8125,19.5,48.375,53.71875,0.5,0.75,2.5,2.125,3.375,2.125,0.5,1.5,34.53125,1.5,1.5,5.75,1.5,0.5,0.5,,,
